YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,LOCATION
2023,1,1,4.7,30,24.1,80,1,350,Quezon City
2023,1,2,19.8,31.8,24.2,75,1,50,Quezon City
2023,1,3,6.5,28.5,23.5,88,1,50,Quezon City
2023,1,4,26.4,28.8,23.6,83,1,360,Quezon City
2023,1,5,19.2,28.4,23.6,94,1,340,Quezon City
2023,1,6,46,28.4,22.8,90,1,20,Quezon City
2023,1,7,0,29.6,21.9,71,1,340,Quezon City
2023,1,8,0,27.3,20.7,76,1,160,Quezon City
2023,1,9,0,29.2,21.8,75,2,40,Quezon City
2023,1,10,0,29.9,23,73,1,70,Quezon City
2023,1,11,0,30.4,22,72,1,60,Quezon City
2023,1,12,0,31,22,71,1,270,Quezon City
2023,1,13,0.7,30.4,22.7,74,1,360,Quezon City
2023,1,14,1,28.6,23.8,79,1,180,Quezon City
2023,1,15,35,30.5,24,85,2,50,Quezon City
2023,1,16,-1,30.4,23.5,77,1,90,Quezon City
2023,1,17,-1,30.3,24.3,74,1,50,Quezon City
2023,1,18,-1,29.5,23.4,81,1,10,Quezon City
2023,1,19,0,29.8,22.6,72,1,340,Quezon City
2023,1,20,0,30.6,23.1,71,1,40,Quezon City
2023,1,21,-1,29.2,23.6,72,1,50,Quezon City
2023,1,22,-1,30.8,21.9,81,1,50,Quezon City
2023,1,23,0,32.4,22,69,1,110,Quezon City
2023,1,24,0,32,23.8,64,2,50,Quezon City
2023,1,25,0,30,21.3,63,2,160,Quezon City
2023,1,26,0,30,23.8,68,1,40,Quezon City
2023,1,27,-1,27.6,23.4,72,1,360,Quezon City
2023,1,28,0,29.4,22,65,1,360,Quezon City
2023,1,29,0,30.1,21.2,64,1,360,Quezon City
2023,1,30,0,30.8,23.2,62,2,110,Quezon City
2023,1,31,0,30.3,21,66,1,90,Quezon City
2023,2,1,-1,33,24.7,65,1,200,Quezon City
2023,2,2,-1,32.3,23.7,66,1,180,Quezon City
2023,2,3,0,30.2,22.2,69,1,90,Quezon City
2023,2,4,0,31.3,20.6,65,1,90,Quezon City
2023,2,5,0,30.4,24,70,1,140,Quezon City
2023,2,6,3.5,30.7,24,78,1,90,Quezon City
2023,2,7,0.2,30.7,22,80,1,170,Quezon City
2023,2,8,0,31,22.4,73,1,170,Quezon City
2023,2,9,0,31.5,20.9,66,1,160,Quezon City
2023,2,10,0,33,21.1,63,2,140,Quezon City
2023,2,11,0,33.2,22.5,68,1,160,Quezon City
2023,2,12,0,33.6,21.7,62,2,140,Quezon City
2023,2,13,-1,31.4,20.3,68,1,140,Quezon City
2023,2,14,0,31.4,20.6,67,1,40,Quezon City
2023,2,15,0,31.6,23.5,58,2,60,Quezon City
2023,2,16,0,30.9,20.2,64,2,90,Quezon City
2023,2,17,0,31.4,22.4,62,2,60,Quezon City
2023,2,18,-1,30.4,24,68,3,50,Quezon City
2023,2,19,1.4,27.2,23.2,86,1,20,Quezon City
2023,2,20,4.6,29.9,23.2,88,1,180,Quezon City
2023,2,21,-1,28.4,21.3,83,1,340,Quezon City
2023,2,22,0,30.8,23,73,1,180,Quezon City
2023,2,23,0,32.5,23.4,73,1,320,Quezon City
2023,2,24,0,32.4,24,71,1,20,Quezon City
2023,2,25,0,32.4,25.6,64,2,70,Quezon City
2023,2,26,-1,31.9,25.2,63,2,90,Quezon City
2023,2,27,0,31.4,23,58,2,70,Quezon City
2023,2,28,0,30.6,21.6,60,1,10,Quezon City
2023,3,1,0,30.2,24.4,70,1,50,Quezon City
2023,3,2,0,31.3,21.3,64,1,50,Quezon City
2023,3,3,0,31.2,20.8,59,2,90,Quezon City
2023,3,4,0,30.6,20.8,64,1,50,Quezon City
2023,3,5,0,30.7,19.5,61,1,70,Quezon City
2023,3,6,0,30.3,20,59,1,90,Quezon City
2023,3,7,0,30.4,20.1,67,1,140,Quezon City
2023,3,8,0,31.6,20.4,68,3,90,Quezon City
